DateTime,Tweet Id,Text,Username,Reply Count,Retweet Count,Like Count,Quote Count
2007-04-10 23:00:11+00:00,24078771,Dallas Mavericks Clinch Best Record In NBA - ,GearLive,0.0,0.0,0.0,0.0
2007-04-10 20:44:09+00:00,23982601,Damn ... Durant's going in the NBA draft.  That means I'm never going to see him play in burnt orange :-(,TFDuesing,0.0,0.0,0.0,0.0
2007-04-10 14:33:18+00:00,23708231,"Picked up Virtua Tennis 3 and NBA Street Homecourt today. VT3 is on now, love the mini games, will try NBA later.",davidoa,0.0,0.0,0.0,0.0
2007-04-10 03:15:08+00:00,23299761,Julian Wright To Enter NBA Draft - ,GearLive,0.0,0.0,0.0,0.0
2007-04-09 22:09:30+00:00,23114461,Here's to hoping my Orlando Magic win tonight as they take on the Bucks. Game starts at 8 pm. EST.,elixirgraphics,1.0,0.0,0.0,0.0
2007-04-12 20:45:54+00:00,26140381,"Only 2 nba games tonight. I really, really hope that Cleveland loses.",robdotca,0.0,0.0,0.0,0.0
2007-04-12 16:50:58+00:00,25952951,Done with soccer... Now set my attention to nba... Which team gonna make it to playoff??,GitaNurani,0.0,0.0,0.0,0.0
2007-04-12 14:18:22+00:00,25807041,Watching the SammyCam. Looking for wrestling and NBA video,PunditFight,0.0,0.0,0.0,0.0
2007-04-12 08:21:05+00:00,25536841,"Update: Britney Denies Crush on NBA Giant, Chokes Back Tears (Mayrav/Us Weekly) ",WeSmirch,0.0,0.0,0.0,0.0
2007-04-12 05:25:34+00:00,25419291,@jasona: this time of year always means late nights because of the NBA and NHL playoffs.  Starbucks in the morning will help :),jdvmi00,0.0,0.0,0.0,0.0
2007-04-12 04:33:58+00:00,25384491,"just got back from Ryans. watched them play poker. went get taco bell, and watched some sports center. can't wait for the NBA PLAYOFFS",nashp,0.0,0.0,0.0,0.0
2007-04-12 00:11:40+00:00,25161111,Playin some NBA 2K7,OrangeBeard,0.0,0.0,0.0,0.0
2007-04-11 16:28:26+00:00,24792961,planning a possible Orlando Magic playoff section.,elixirgraphics,0.0,0.0,0.0,0.0
2007-04-12 03:36:08+00:00,25339841,the Utah Jazz suck. Hope Lost is good tonight.,paulmayne,0.0,0.0,0.0,0.0
2007-04-13 08:06:25+00:00,26665681,"today=chillin with chad, alot of recording , got a snowball, chilled with ""my boo"", played the wii, beat kip in nba 2k7(100-53!) FUN DAY :)",nashp,0.0,0.0,0.0,0.0
2007-04-13 07:18:09+00:00,26631491,BREAKING NEWS: I JUST BEAT KIP 100-53 IN NBA 2K7!!!! Damn I'm Good!,nashp,0.0,0.0,0.0,0.0
2007-04-13 03:48:02+00:00,26477901,bustin chads ass in nba 2K7 lmao,nashp,0.0,0.0,0.0,0.0
2007-04-13 02:39:56+00:00,26423081,watching the cleveland cavaliers beat the new jersey nets,BrettMichael,0.0,0.0,1.0,0.0
2007-04-13 00:05:38+00:00,26304511,"WASHINGTON (AP) Jason Kidd's first basket of the game, a tip-in of a missed layup, gave the New Jersey Nets the lead for good with 30 second",JapanNewsFeeds,0.0,0.0,0.0,0.0
2007-04-14 11:30:06+00:00,27816281,NBA star Jordan tops celebrity divorce list ,IOL,0.0,0.0,0.0,0.0
2007-04-14 06:20:13+00:00,27658531,Dad Says Greg Oden Will Enter NBA Draft ,emotioner,0.0,0.0,0.0,0.0
2007-04-14 05:20:49+00:00,27625591,"@dustym KG is probably better.  But seriously.  Knee socks; and NvE moves like a street baller, not an NBA player.",therealadam,0.0,0.0,0.0,0.0
2007-04-14 04:40:19+00:00,27600191,Report: Father says Oden will enter NBA draft - ,espn,0.0,0.0,0.0,0.0
2007-04-14 02:51:18+00:00,27531481,"I can sorta dribble a basketball between my legs.  Baby steps closer to emulating my favorite NBA player, Nick Van Exel.",therealadam,0.0,0.0,0.0,0.0
2007-04-15 21:34:03+00:00,29202731,New blog post: NBA Officiating - We've seen this before ,kr8tr,0.0,0.0,0.0,0.0
2007-04-15 18:32:47+00:00,29081371,Just saw for the 1st time an AppleTV commercial while watching the CHI/WSH NBA game,HarryHaber,0.0,0.0,0.0,0.0
2007-04-15 17:10:59+00:00,29020881,I am about to watch some NBA basketball on ABC. Go wizards,ankitgulati,0.0,0.0,0.0,0.0
2007-04-15 12:15:34+00:00,28791391,Episode #82 - NBA Street Homecourt Community Day Recap : ,godfree,0.0,0.0,0.0,0.0
2007-04-16 21:17:39+00:00,30292251,im doing something awesome! and playing nba 2k7,MateoLopez,0.0,0.0,0.0,0.0
2007-04-16 18:27:23+00:00,30164961,still thinks the NBA has a conspiracy theory problem,jw,0.0,0.0,0.0,0.0
2007-04-16 16:54:15+00:00,30086861,Take your pick my fellow twitter!! Hehehehe... Oh btw... NBA Playoff is coming too!!,GitaNurani,0.0,0.0,0.0,0.0
2007-04-17 23:01:47+00:00,31473911,USC G/F Young officially declares for NBA draft - ,espn,0.0,0.0,0.0,0.0
2007-04-17 21:55:52+00:00,31420671,NBA Suspends Referee Joey Crawford Indefinitely : ,digg_all,0.0,0.0,0.0,0.0
2007-04-17 18:22:39+00:00,31265191,"no they didn't... NBA Street Homecourt - 39.99, Table Tennis - 14.99, Fifa 2006 - 14.99, Gears of War - 34.99, Call of Duty 2 - 19.99..etc",DJHads,0.0,0.0,0.0,0.0
2007-04-17 18:19:07+00:00,31262581,"Just saw Mickey and Minnie and the cafe, and NBA Commish David Stern going into the lobby.",bikeride,0.0,0.0,0.0,0.0
2007-04-17 17:41:12+00:00,31232111,NBA suspends referee Crawford indefinitely - ,espn,0.0,0.0,0.0,0.0
2007-04-17 16:29:03+00:00,31176001,"Listen up, human. I can give you sports news and scores for the NBA, NHL, MLB, and NFL. Add me as a friend to get started. Robot Power.",RUWTbot,0.0,0.0,0.0,0.0
2007-04-17 07:00:57+00:00,30730811,"Ford: Who's in, who's out of the 2007 NBA draft? - ",espn,0.0,0.0,0.0,0.0
2007-04-17 01:21:44+00:00,30466181,Sources: USC's Young likely heading for NBA draft - ,espn,0.0,0.0,0.0,0.0
2007-04-17 03:15:11+00:00,30562091,Watching the Utah Jazz destroy the Portland Trailblazers.  Jerry Sloan is the best coach ever damn it!,burrball,0.0,0.0,0.0,0.0
2007-04-18 23:56:26+00:00,32537291,Tonight NBA match... Faith Determiner.. Warriors vs. Blazers and Clippers vs. Hornets!! Which team will go to playoff?,GitaNurani,0.0,0.0,0.0,0.0
2007-04-18 22:15:51+00:00,32467181,"Blazers, fans relive NBA championship : ",Oregonian,0.0,0.0,0.0,0.0
2007-04-18 19:56:39+00:00,32372291,"I love video game demos, playing NBA Homecourt now.",JMCampbell,0.0,0.0,0.0,0.0
2007-04-18 14:19:21+00:00,32138151,NBA suspended the jackass! ,srslyPeter,0.0,0.0,0.0,0.0
2007-04-18 05:53:59+00:00,31770651,Finished another game of NBA 2K7. I should really get to bed soon if I hope to be somewhat functional tomorrow.,robdotca,0.0,0.0,0.0,0.0
2007-04-18 03:49:55+00:00,31681351,"Suns have a 3 pt lead going into the 4th qtr, and Raja is one 3ptr shy of leading the NBA in 3 pointers made during the reg. season.",phxsuns,0.0,0.0,0.0,0.0
2007-04-18 15:59:12+00:00,32206581,May Golden State Warriors win the game against Portland and go to playoff.. ,GitaNurani,0.0,0.0,0.0,0.0
2007-04-19 19:26:29+00:00,33401071,Two days until the NBA playoffs begin. Yeah baby!,jw,0.0,0.0,0.0,0.0
