Date,Number Games,Total Attendance,Avg Attendance Per Game
2010-01-20,13,197959,15227.61538
2010-01-21,2,35905,17952.5
2010-01-22,13,225846,17372.76923
2010-01-23,10,186919,18691.9
2010-01-24,3,51885,17295
2010-01-25,9,151724,16858.22222
2010-01-26,5,88327,17665.4
2010-01-27,11,182652,16604.72727
2010-01-28,3,54144,18048
2010-01-29,12,209485,17457.08333
2010-01-30,6,98992,16498.66667
2010-01-31,9,152632,16959.11111
2010-02-01,7,123585,17655
2010-02-02,7,108171,15453
2010-02-03,11,183229,16657.18182
2010-02-04,2,41134,20567
2010-02-05,10,172539,17253.9
2010-02-06,11,209227,19020.63636
2010-02-07,2,36631,18315.5
2010-02-08,3,53473,17824.33333
2010-02-09,11,171026,15547.81818
2010-02-10,10,165847,16584.7
2010-02-11,2,39173,19586.5
2010-02-16,10,163106,16310.6
2010-02-17,11,172122,15647.45455
2010-02-18,2,39559,19779.5
2010-02-19,12,208472,17372.66667
2010-02-20,7,133014,19002
2010-02-21,9,153970,17107.77778
2010-02-22,5,89264,17852.8
2010-02-23,8,131172,16396.5
2010-02-24,11,183819,16710.81818
2010-02-25,3,51295,17098.33333
2010-02-26,12,215834,17986.16667
2010-02-27,7,131835,18833.57143
2010-02-28,8,134449,16806.125
2010-03-01,9,143383,15931.44444
2010-03-02,4,69843,17460.75
2010-03-03,12,207992,17332.66667
2010-03-04,3,56699,18899.66667
2010-03-05,11,200563,18233
2010-03-06,9,168815,18757.22222
2010-03-07,6,102590,17098.33333
2010-03-08,5,78538,15707.6
2010-03-09,8,130415,16301.875
2010-03-10,9,145594,16177.11111
2010-03-11,3,48394,16131.33333
2010-03-12,12,204882,17073.5
2010-03-13,7,128868,18409.71429
2010-03-14,8,139055,17381.875
2010-03-15,6,103822,17303.66667
2010-03-16,8,131397,16424.625
2010-03-17,11,191680,17425.45455
2010-03-18,2,38029,19014.5
2010-03-19,11,200411,18219.18182
2010-03-20,7,119453,17064.71429
2010-03-21,7,125886,17983.71429
2010-03-22,10,156883,15688.3
2010-03-23,4,69319,17329.75
2010-03-24,11,173308,15755.27273
2010-03-25,3,57404,19134.66667
2010-03-26,11,187522,17047.45455
2010-03-27,5,90066,18013.2
2010-03-28,10,184716,18471.6
2010-03-29,5,85789,17157.8
2010-03-30,5,78033,15606.6
2010-03-31,13,227097,17469
2010-04-01,2,39120,19560
2010-04-02,10,186020,18602
2010-04-03,9,154249,17138.77778
2010-04-04,8,131190,16398.75
2010-04-06,9,151072,16785.77778
2010-04-07,13,225767,17366.69231
2010-04-08,3,53169,17723
2010-04-09,13,236675,18205.76923
2010-04-10,8,144197,18024.625
2010-04-11,7,131130,18732.85714
2010-04-12,11,196523,17865.72727
2010-04-13,4,77298,19324.5
2010-04-14,14,258963,18497.35714
2010-04-17,4,77070,19267.5
2010-04-18,4,75252,18813
2010-04-19,2,39717,19858.5
2010-04-20,4,74981,18745.25
2010-04-21,2,38189,19094.5
2010-04-22,3,61604,20534.66667
2010-04-23,3,57992,19330.66667
2010-04-24,4,76806,19201.5
2010-04-25,4,81070,20267.5
2010-04-26,3,56225,18741.66667
2010-04-27,4,78740,19685
2010-04-28,2,38459,19229.5
2010-04-29,2,38894,19447
2010-04-30,3,56970,18990
2010-05-01,1,20562,20562
2010-05-02,2,38238,19119
2010-05-03,2,38984,19492
2010-05-04,2,36458,18229
2010-05-05,1,18422,18422
2010-05-06,1,17461,17461
2010-05-07,2,37205,18602.5
2010-05-08,2,38640,19320
2010-05-09,2,37205,18602.5
2010-05-10,2,38640,19320
2010-05-11,1,20562,20562
2010-05-13,1,18624,18624
2010-05-16,1,17461,17461
2010-05-17,1,18997,18997
2010-05-18,1,17461,17461
2010-05-19,1,18997,18997
2010-05-22,1,18624,18624
2010-05-23,1,18422,18422
2010-05-24,1,18624,18624
2010-05-25,1,18422,18422
2010-05-26,1,17461,17461
2010-05-27,1,18997,18997
